"D","ScientificName","QualifiedScientificName","CommonName","Family","Genus","Species","SpeciesAuthority","Subspecies","SubspeciesAuthority","Variety","VarietyAuthority","Forma","FormaAuthority","Identifier","IDDate","IDNotes","CDC","MuseumCollection","Collector","CollectorsFieldNumber","CollectionDate","Prov_State","District","LocationName","LocationDescription","Latitude","Longitude","UTMZone","UTMNorthing","UTMEasting","Elevation","Park_ER_IR","HabitatRemarks","SpecimenNotes","SpeciesAbundance"
NA,"Sagina occidentalis",NA,NA,"Caryophyllaceae","Sagina","decumbens","(S.Watson) G.E.Crow","occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1930","1981-05-21","British Columbia","Southern Gulf Islands","Wise Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Lupinus arboreus",NA,NA,"Fabaceae","Lupinus","arboreus","Sims",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1931","1981-05-21","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"salt marsh",NA,NA
NA,"Lotus corniculatus",NA,NA,"Fabaceae","Lotus","corniculatus","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1932","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Trifolium subterraneum",NA,NA,"Fabaceae","Trifolium","subterraneum","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1933","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bromus pacificus",NA,NA,"Poaceae","Bromus","pacificus","Shear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1934","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bromus vulgaris",NA,NA,"Poaceae","Bromus","vulgaris","(Hook.) Shear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1935","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Barbarea orthoceras",NA,NA,"Brassicaceae","Barbarea","orthoceras","Ledeb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1936","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Sagina crassicaulis",NA,NA,"Caryophyllaceae","Sagina","maxima","(S.Watson) G.E.Crow","crassicaulis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1937","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Alopecurus pratensis",NA,NA,"Poaceae","Alopecurus","pratensis","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1938","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Saxifraga caespitosa",NA,NA,"Saxifragaceae","Saxifraga","cespitosa","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1939","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Poa howellii",NA,NA,"Poaceae","Poa","howellii","Vasey & Scribn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1940","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Trisetum canescens",NA,NA,"Poaceae","Trisetum","canescens","Buckley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1941","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Callitriche heterophylla",NA,NA,"Plantaginaceae","Callitriche","heterophylla","Pursh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1942","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Festuca subuliflora",NA,NA,"Poaceae","Festuca","subuliflora","Scribn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1943","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Arabis hirsuta",NA,NA,"Brassicaceae","Arabis","hirsuta","(L.) Scop.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1944","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Arrhenatherum elatius",NA,NA,"Poaceae","Arrhenatherum","elatius","(L.) P.Beauv. ex J.Presl & C.Presl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1945","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Anthriscus scandicina",NA,NA,"Apiaceae","Anthriscus","caucalis","M.Bieb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1946","1981-05-28","British Columbia","Southern Gulf Islands","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Taxus brevifolia",NA,NA,"Taxaceae","Taxus","brevifolia","Nutt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1947","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Juncus bufonius",NA,NA,"Juncaceae","Juncus","bufonius","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1948","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Deschampsia elongata",NA,NA,"Poaceae","Deschampsia","elongata","(Hook.) Munro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1949","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Geranium carolinianum",NA,NA,"Geraniaceae","Geranium","carolinianum","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1950","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Lychnis coronaria",NA,NA,"Caryophyllaceae","Silene","coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1951","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Montia sibirica",NA,NA,"Montiaceae","Claytonia","sibirica","(L.) Howell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1952","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Lepidium virginicum",NA,NA,"Brassicaceae","Lepidium","virginicum","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1953","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Alopecurus geniculatus",NA,NA,"Poaceae","Alopecurus","geniculatus","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1954","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Physocarpus capitatus",NA,NA,"Rosaceae","Physocarpus","capitatus","(Pursh) Kuntze",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1955","1981-06-10","British Columbia","Southern Gulf Islands","North Pender Island; Port Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Stellaria calycantha",NA,NA,"Caryophyllaceae","Stellaria","calycantha","(Ledeb.) Bong.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1956","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Daphne laureola",NA,NA,"Thymelaeaceae","Daphne","laureola","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1957","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Hypochaeris radicata",NA,NA,"Asteraceae","Hypochaeris","radicata","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1958","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Pyrola asarifolia",NA,NA,"Ericaceae","Pyrola","asarifolia","Michx.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1959","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Sanguisorba minor",NA,NA,"Rosaceae","Sanguisorba","minor","Bertol.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1960","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Veronica serpyllifolia",NA,NA,"Plantaginaceae","Veronica","serpyllifolia","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1961","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Trifolium procumbens",NA,NA,"Fabaceae","Trifolium","campestre","Schreb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1962","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Polygonum spergulariiforme douglasii",NA,NA,"Polygonaceae","Polygonum","spergulariiforme","Meisn. ex Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1963","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Brodia coronaria",NA,NA,"Asparagaceae","Brodiaea","coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1964","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Lupinus bicolor",NA,NA,"Fabaceae","Lupinus","bicolor","Lindl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1965","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Agoseris heterophylla",NA,NA,"Asteraceae","Agoseris","heterophylla","(Nutt.) Greene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1966","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Festuca rubra litoralis",NA,NA,"Poaceae","Festuca","rubra","G.Mey.",NA,NA,"litoralis",NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1967","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Triteleia hyacinthina",NA,NA,"Asparagaceae","Triteleia","hyacinthina","(Lindl.) Greene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1968","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Potentilla gracilis glabrata",NA,NA,"Rosaceae","Potentilla","gracilis","Douglas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1969","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis","Potentilla recta crossed out",NA
NA,"Anthemis arvensis",NA,NA,"Asteraceae","Anthemis","arvensis","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1970","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Carex aurea",NA,NA,"Cyperaceae","Carex","aurea","Nutt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1971","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Lotus corniculatus",NA,NA,"Fabaceae","Lotus","corniculatus","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1972","1981-06-15","British Columbia","Southern Gulf Islands","North Pender Island","port washington area",NA,NA,NA,NA,NA,NA,NA,"wet meadow with several species of rush; possibly Juncus acuminatus and Juncus gracilis",NA,NA
NA,"Leontodon nudicaulis",NA,NA,"Asteraceae","Leontodon","nudicaulis","(L.) Banks ex Schinz & R.Keller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1973","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Plantago maritima",NA,NA,"Plantaginaceae","Plantago","maritima","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1974","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Carex rostrata",NA,NA,"Cyperaceae","Carex","rostrata","Stokes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1975","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Carex cusickii",NA,NA,"Cyperaceae","Carex","cusickii","Mack.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1976","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Tragopogon porrifolius",NA,NA,"Asteraceae","Tragopogon","porrifolius","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1977","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Medicago lupulina",NA,NA,"Fabaceae","Medicago","lupulina","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1978","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Sisyrinchium angustifolium",NA,NA,"Iridaceae","Sisyrinchium","angustifolium","Mill.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1979","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Centaurea nigra",NA,NA,"Asteraceae","Centaurea","nigra","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1980","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Carex oederi",NA,NA,"Cyperaceae","Carex","oederi","Retz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1981","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Pinus contorta",NA,NA,"Pinaceae","Pinus","contorta","Douglas ex Loudon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1982","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Populus balsamifera",NA,NA,"Salicaceae","Populus","balsamifera","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1983","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Sisyrinchium altissimum",NA,NA,"Iridaceae","Sisyrinchium","palmifolium",NA,"palmifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1984","1981-06-19","British Columbia","Southern Gulf Islands","North Pender Island","fen below magic lake",NA,NA,NA,NA,NA,NA,NA,"fen; with several rushes",NA,NA
NA,"Orobanche californicum",NA,NA,"Orobanchaceae","Aphyllon","californica","Cham. & Schltdl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1985","1981-06-23","British Columbia","Southern Gulf Islands","North Pender Island; Otter Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Polygonum spergulariiforme douglasii",NA,NA,"Polygonaceae","Polygonum","spergulariiforme","Meisn. ex Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1986","1981-06-23","British Columbia","Southern Gulf Islands","North Pender Island; Otter Bay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Leontodon nudicaulis",NA,NA,"Asteraceae","Thrincia","saxatilis",NA,NA,NA,"saxatilis",NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1987","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Bromus sitchensis sitchensis",NA,NA,"Poaceae","Bromus","sitchensis",NA,NA,NA,"sitchensis",NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1988","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Cerastium vulgatum",NA,NA,"Caryophyllaceae","Cerastium","fontanum","Baumg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harvey Janszen Collection","Harvey Janszen","1989","1981-07-07","British Columbia","Southern Gulf Islands","Galiano Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
