checkStatus,toDelete,pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,assCollTaxa,assColl,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
Y,,2,8,Bromus pacificus,Bromus pacificus,h,Bromus pacificus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asterisk next to taxon name,NA,NA,NA,has asterisk
Y,Y,2,14,NA,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,,2,24,Galium triflorum,Galium triflorum,h,Galium triflorum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Galium triflorum cf.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,question mark beside taxon name,NA,NA,NA,question mark
Y,,2,27,Epilobium minutum,Epilobium minutum,m,Epilobium minutum,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unsure if montanum or minutum
Y,,2,33,Festuca occidentalis,Festuca occidentalis,h,Festuca occidentalis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Festuca cf . occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,question mark in between genus and species; check mark next to taxon name,NA,NA,NA,question mark in between genus and species. Check mark
Y,,2,38,Festuca rubra lit,Festuca rubra litoralis,l,Festuca rubra litoralis,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,,2,39,Bromus vulgaris,Bromus vulgaris,h,Bromus vulgaris,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asterisk next to taxon name,NA,NA,NA,asterisk
Y,,2,40,Barbarea orthoceras,Barbarea orthoceras,h,Barbarea orthoceras,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asterisk next to taxon name,NA,NA,NA,asterisk
Y,,3,3,Arenaria serpyllifolia,Arenaria serpyllifolia,m,Arenaria serpyllifolia,19810528,Prevost Island,Canada,British Columbia,Prevost Island,cf. Arenaria serpyllifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,taxon name circled with big question mark,NA,NA,NA,question mark and circled
Y,,3,5,Lenontodon Crepis capillaris,Crepis capillaris,l,Crepis capillaris,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,crossed out and has asterisk beside taxon name,NA,NA,NA,inferrring absent from crossing out
Y,,3,15,Epilobium watsonii,Epilobium watsonii,l,Epilobium ciliatum watsonii,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,,3,33,Alopecurus geniculatus,Alopecurus geniculatus,l,Alopecurus geniculatus,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,having trouble deciphering taxon name
Y,,4,10,Pyrola aphylla,Pyrola aphylla,h,Pyrola aphylla,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher comment next to name in brackets. Is that a suspected intraspecific epithet?
Y,,4,21,Orthocarpus pusillus,Orthocarpus pusillus,l,Triphysaria pusilla,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,Y,4,25,NA,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trouble deciphering taxon name
Y,Y,4,26,Potamogeton,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,in salt pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher specific epithet or tell if it is suggesting another genus instead
Y,Y,4,31,Ranunculus,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher specific epithet
Y,,4,35,Juncus gracilis,Juncus gracilis,l,Marsippospermum gracile,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,new species name not found in region
Y,Y,6,3,Oenothera sarmentosa,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unable to decipher specific epithet
Y,Y,6,14,Potentilla,Potentilla,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Potentilla  cf. sp.,NA,NA,fen,fen far west of lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y,,6,35,Arabis hirsuta,Arabis hirsuta,l,Arabis hirsuta,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very rare in area, maybe I did not decipher name right?"
Y,Y,7,7,G,[G] microcephala,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher genus name
Y,Y,7,9,G. purpurea,[G] purpurea,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher genus name
Y,Y,7,16,Linum valerian,NA,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,around old light keepers house,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-flowering,vegetative,NA,NA,cannot decipher name it was replaced with