"pageNum","numPage","vName","vSciName","conf","sciName","date","locality","country","stateProvince","island","idQualifier","county","occStatus","habitat","locationRemarks","vTaxonRank","vElevM","vLat","vLon","vUTM","vCoordUncM","assCollTaxa","assColl","numPlantsCode","orgQuantity","orgQtype","occRemarks","phenology","recordedBy","idBy","dataEntryRemarks"
1,1,"Artemisia suksdorfii","Artemisia suksdorfii","h","Artemisia suksdorfii",19810528,"log dump beach with navy channel, North Pender Island","Canada","British Columbia","North Pender Island",NA,"Southern Gulf Islands",NA,"beach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,"Poa annua","Poa annua","h","Poa annua",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,"Lolium perenne","Lolium perenne","h","Lolium perenne",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,"Plantago lanceolata","Plantago lanceolata","h","Plantago lanceolata",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,"Bromus mollis","Bromus mollis","h","Bromus hordeaceus",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,"Bromus tectorum","Bromus tectorum","h","Bromus tectorum",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,"Vicia sativa","Vicia sativa","h","Vicia sativa",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,"Poa pratensis","Poa pratensis","h","Poa pratensis",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,"Rumex acetosella","Rumex acetosella","h","Rumex acetosella",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,10,"Festuca megalura","Festuca megalura","m","Vulpia myuros megalura",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11,"Arbutus menziesii","Arbutus menziesii","h","Arbutus menziesii",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,12,"Lotus corniculatus","Lotus corniculatus","h","Lotus corniculatus",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,13,"Trifolium dubium","Trifolium dubium","h","Trifolium dubium",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,14,"Trifolium repens","Trifolium repens","h","Trifolium repens",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,"Trifolium subterraneum","Trifolium subterraneum","h","Trifolium subterraneum",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,16,"Aira caryophyllea","Aira caryophyllea","h","Aira caryophyllea",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,17,"Hypochaeris radicata","Hypochaeris radicata","h","Hypochaeris radicata",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,"Dactylis glomerata","Dactylis glomerata","h","Dactylis glomerata",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,19,"Bromus pacificus","Bromus pacificus","h","Bromus pacificus",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,20,"Bellis perennis","Bellis perennis","h","Bellis perennis",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,"Matricaria matricarioides","Matricaria matricarioides","h","Matricaria discoidea",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,22,"Pseudotsuga menziesii","Pseudotsuga menziesii","h","Pseudotsuga menziesii",19810528,"Prevost Island, at dock","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,"at dock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,"Sedum spathulifolium","Sedum spathulifolium","h","Sedum spathulifolium",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,"Juniperus scopulorum","Juniperus scopulorum","h","Juniperus scopulorum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,"Lonicera ciliosa","Lonicera ciliosa","h","Lonicera ciliosa",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,"Salix scouleriana","Salix scouleriana","h","Salix scouleriana",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,"Filago germanica","Filago germanica","h","Filago germanica",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,"Rubus ursinus","Rubus ursinus","h","Rubus ursinus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,"Gaultheria shallon","Gaultheria shallon","h","Gaultheria shallon",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,"Bromus pacificus","Bromus pacificus","h","Bromus pacificus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asterisk next to taxon name",NA,NA,NA,"has asterisk"
2,9,"Bromus sterilis","Bromus sterilis","h","Bromus sterilis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,10,"Daucus pusillus","Daucus pusillus","h","Daucus pusillus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,11,"Heuchera micrantha","Heuchera micrantha","h","Heuchera micrantha",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,12,"Achillea millefolium","Achillea millefolium","h","Achillea millefolium",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,13,"Vaccinium parvifolium","Vaccinium parvifolium","h","Vaccinium parvifolium",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,15,"Vicia gigantea","Vicia gigantea","h","Vicia gigantea",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,16,"Ribes sanguineum","Ribes sanguineum","h","Ribes sanguineum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,17,"Grindelia integrifolia","Grindelia integrifolia","h","Grindelia integrifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18,"Conioselinum pacificum","Conioselinum pacificum","h","Conioselinum gmelinii",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,19,"Plantago maritima","Plantago maritima","h","Plantago maritima",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,20,"Elymus glaucus","Elymus glaucus","h","Elymus glaucus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,21,"Thuja plicata","Thuja plicata","h","Thuja plicata",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,22,"Lonicera hispidula","Lonicera hispidula","h","Lonicera hispidula",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,23,"Acer macrophyllum","Acer macrophyllum","h","Acer macrophyllum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,24,"Galium triflorum","Galium triflorum","h","Galium triflorum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","Galium triflorum cf.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"question mark beside taxon name",NA,NA,NA,"question mark"
2,25,"Lactuca muralis","Lactuca muralis","h","Lactuca muralis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,26,"Verbascum thapsus","Verbascum thapsus","m","Verbascum thapsus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,27,"Epilobium minutum","Epilobium minutum","m","Epilobium minutum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unsure if montanum or minutum"
2,28,"Cerastium viscosum","Cerastium viscosum","h","Cerastium holosteoides",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,29,"Berberis nervosa","Berberis nervosa","h","Berberis nervosa",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,30,"Galium aparine","Galium aparine","h","Galium aparine",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,31,"Hieracium alb","Hieracium albiflorum","m","Hieracium albiflorum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,32,"Trientalis latifolia","Trientalis latifolia","h","Lysimachia latifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,33,"Festuca occidentalis","Festuca occidentalis","h","Festuca occidentalis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","Festuca cf . occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"question mark in between genus and species; check mark next to taxon name",NA,NA,NA,"question mark in between genus and species. Check mark"
2,34,"Amelanchier alnifolia","Amelanchier alnifolia","h","Amelanchier alnifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,35,"rosa gymnocarpa","rosa gymnocarpa","h","rosa gymnocarpa",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,36,"Anthoxanthum odoratum","Anthoxanthum odoratum","h","Anthoxanthum odoratum",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,37,"Madia madioides","Madia madioides","h","Madia madioides",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,38,"Festuca rubra lit","Festuca rubra litoralis","l","Festuca rubra litoralis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,39,"Bromus vulgaris","Bromus vulgaris","h","Bromus vulgaris",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asterisk next to taxon name",NA,NA,NA,"asterisk"
2,40,"Barbarea orthoceras","Barbarea orthoceras","h","Barbarea orthoceras",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asterisk next to taxon name",NA,NA,NA,"asterisk"
3,1,"Symphoricarpos albus","Symphoricarpos albus","h","Symphoricarpos albus",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,"Collinsia grandiflora","Collinsia grandiflora","h","Collinsia grandiflora",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,"Arenaria serpyllifolia","Arenaria serpyllifolia","m","Arenaria serpyllifolia",19810528,"Prevost Island","Canada","British Columbia","Prevost Island","cf. Arenaria serpyllifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"taxon name circled with big question mark",NA,NA,NA,"question mark and circled"
3,4,"Sisymbrium officinale","Sisymbrium officinale","h","Sisymbrium officinale",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,"Lenontodon Crepis capillaris","Crepis capillaris","l","Crepis capillaris",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,"absent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"crossed out and has asterisk beside taxon name",NA,NA,NA,"inferrring absent from crossing out"
3,6,"Collinsia parviflora","Collinsia parviflora","h","Collinsia parviflora",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,"Veronica arvense","Veronica arvensis","m","Veronica arvensis",19810528,"Prevost Island","Canada","British Columbia","Prevost Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
